,Title,US Release,Co-production companies
L,Timmy Failure: Mistakes Were Made,7-Feb-20,"Etalon Films, Slow Pony Pictures and Whitaker Entertainment"
A,Onward,6-Mar-20,Pixar Animation Studios
L,Stargirl,13-Mar-20,Gotham Group and Hahnscape Entertainment
N,Dolphin Reef,3-Apr-20,Disneynature
N,Elephant,3-Apr-20,Disneynature
L,Artemis Fowl,12-Jun-20,TriBeCa Productions and Marzano Films
L,Hamilton,3-Jul-20,"5000 Broadway Productions, Nevis Productions, Old 320 Sycamore Pictures and RadicalMedia"
